caseid,state_name,X_trump,X_harris,selfvoted_2024,likely_voter,validated_voter,CC24_363_names
1854047448,Wisconsin,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854044678,Tennessee,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854048136,Iowa,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854030044,Nevada,,,,0.0,0,No
1852713680,Colorado,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854047118,Massachusetts,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854065536,Nevada,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854048194,Ohio,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854047964,Georgia,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854047850,New York,1.0,0.0,1.0,1.0,1,Probably
1854048292,Tennessee,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854067818,Pennsylvania,,,,0.0,0,No
1854047310,Florida,,,,1.0,0,Probably
1854066006,Vermont,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854065604,Arkansas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854065720,South Carolina,,,,1.0,0,Probably
1854079996,Colorado,,,,0.0,0,No
1850894632,Michigan,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854069640,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854081932,Arizona,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854065960,Arizona,,,,1.0,0,"Yes, definitely"
1854086042,Oregon,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854086110,Ohio,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854082492,Tennessee,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1854082148,District Of Columbia,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854092130,Kentucky,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854069814,Alabama,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853814032,Nevada,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1854052198,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1852897972,California,,,,0.0,0,No
1854098608,Virginia,,,,0.0,0,Undecided
1854082012,Ohio,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1850891770,Mississippi,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854086266,Ohio,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854102986,Louisiana,,,,1.0,1,"Yes, definitely"
1854082102,Oklahoma,0.0,1.0,1.0,1.0,0,Probably
1854065108,Mississippi,,,,0.0,0,No
1854098590,Ohio,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854082430,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1852649164,Michigan,,,,0.0,0,Undecided
1854102482,Montana,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854082200,Indiana,,,,0.0,0,No
1854065264,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854082086,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854103284,Ohio,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854102954,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1852770940,Florida,,,0.0,1.0,1,"Yes, definitely"
1854081810,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854071360,Louisiana,,,,0.0,0,Undecided
1843402086,Florida,,,,1.0,1,"Yes, definitely"
1853846670,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854098580,Texas,1.0,0.0,1.0,1.0,0,Probably
1854105932,Arizona,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854086038,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854102572,Mississippi,,,,1.0,1,"Yes, definitely"
1854102638,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854086300,Kentucky,0.0,1.0,1.0,1.0,0,I already voted (early or absentee)
1854102738,Texas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1852742910,Ohio,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854032436,Alabama,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854114428,Texas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1851703926,Florida,,,,1.0,1,"Yes, definitely"
1852722720,Missouri,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1850786920,South Dakota,1.0,0.0,1.0,1.0,0,Probably
1852896288,New Mexico,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854054442,Michigan,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855236284,Virginia,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855234492,North Carolina,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855241034,Washington,,,,0.0,0,Undecided
1855233832,Alabama,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855239396,Missouri,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855249420,Connecticut,,,,1.0,0,"Yes, definitely"
1854271656,Oregon,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855246260,Maryland,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855277614,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855282688,California,,,,1.0,1,"Yes, definitely"
1855245724,Washington,0.0,1.0,1.0,1.0,0,Probably
1855275802,Florida,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855293694,Utah,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855276470,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855288570,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854223200,California,0.0,1.0,1.0,0.0,1,Undecided
1855248360,Missouri,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855285670,Illinois,,,,1.0,1,"Yes, definitely"
1855275794,Texas,,,,0.0,0,No
1855198442,Florida,,,,1.0,1,"Yes, definitely"
1855323974,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854377364,California,,,,0.0,0,No
1855328686,New York,,,,1.0,0,"Yes, definitely"
1855323968,Georgia,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855296934,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855293894,Louisiana,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1854464126,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855315490,New Hampshire,0.0,1.0,1.0,0.0,1,No
1855292326,Georgia,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855247904,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855322050,Maine,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855246266,New Jersey,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1855246188,California,0.0,1.0,1.0,1.0,0,Probably
1855081702,Missouri,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854464080,Arizona,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1855291076,Georgia,1.0,0.0,1.0,1.0,0,Probably
1854549892,Nebraska,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855298160,Connecticut,,,,0.0,0,Undecided
1855325276,Pennsylvania,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855298198,Maryland,,,0.0,1.0,1,"Yes, definitely"
1855289482,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855239606,New Jersey,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855306844,New York,,,,0.0,0,No
1855300890,Arizona,,,,1.0,1,"Yes, definitely"
1855291142,Georgia,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1854486686,Michigan,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1855013634,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855333442,Texas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854643124,Vermont,0.0,1.0,1.0,1.0,1,I already voted (early or absentee)
1855335472,Oregon,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854320954,California,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1850309040,Iowa,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853467986,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855360482,New York,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855361930,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854305482,New Mexico,,,,0.0,0,No
1854339084,Alabama,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855373476,Indiana,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853620884,Maryland,0.0,0.0,1.0,1.0,1,"Yes, definitely"
1854670744,Pennsylvania,0.0,1.0,1.0,1.0,1,Probably
1854437438,New York,0.0,1.0,1.0,1.0,1,Probably
1854486194,Minnesota,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855332216,New York,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855335904,South Carolina,,,,1.0,1,"Yes, definitely"
1855347856,Indiana,,,,1.0,0,"Yes, definitely"
1854899840,New Mexico,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1849874440,Colorado,,,,1.0,0,"Yes, definitely"
1854397340,Florida,,,,1.0,1,"Yes, definitely"
1854610436,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855368768,Florida,0.0,1.0,1.0,1.0,1,Probably
1855373322,Ohio,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1851867592,Maryland,,,0.0,0.0,1,Undecided
1855298252,Oklahoma,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855251796,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854958094,District Of Columbia,,,,0.0,0,No
1855396188,Texas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855329874,Mississippi,1.0,0.0,1.0,1.0,1,Probably
1855346310,New Jersey,,,,1.0,0,"Yes, definitely"
1855369004,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855323032,Wisconsin,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855351644,West Virginia,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855377626,North Carolina,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855347244,Wisconsin,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855322472,Missouri,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855278488,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855353404,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854271238,Pennsylvania,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855403354,Texas,,,,1.0,1,"Yes, definitely"
1851703938,Virginia,0.0,1.0,1.0,1.0,0,Probably
1853979326,California,,,0.0,1.0,1,Probably
1847135124,Pennsylvania,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854546772,Texas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1842753510,Alaska,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854697284,Connecticut,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854900392,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855386880,Pennsylvania,0.0,0.0,1.0,1.0,1,"Yes, definitely"
1854795780,Arizona,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855421754,Louisiana,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855334748,Pennsylvania,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855344772,West Virginia,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855393478,Nevada,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855422434,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855327058,Idaho,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855426574,Washington,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854722890,Iowa,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855335628,Colorado,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855427364,New York,0.0,1.0,1.0,1.0,1,I already voted (early or absentee)
1854265844,Missouri,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854646474,Wisconsin,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854303936,Massachusetts,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854671690,Kansas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854510844,Arizona,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855422018,North Carolina,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854436132,Georgia,,,,0.0,0,No
1855012578,Oregon,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855321672,Connecticut,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853971458,Texas,,,,1.0,1,"Yes, definitely"
1855427182,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854323144,Virginia,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855426532,Florida,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854374470,Texas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855426252,Minnesota,,,,0.0,0,No
1854721096,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855298164,Nevada,,,,0.0,0,No
1855427524,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855445100,Kentucky,,,,0.0,0,Undecided
1854745392,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854699806,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1853666808,Vermont,0.0,1.0,1.0,0.0,1,Undecided
1855444908,California,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855330306,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854721778,West Virginia,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854511608,Delaware,0.0,1.0,1.0,1.0,1,I already voted (early or absentee)
1854288252,Florida,0.0,1.0,1.0,1.0,0,Probably
1855298576,California,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855427528,Connecticut,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854674240,Minnesota,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854360680,Oregon,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854148444,Texas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855441806,South Carolina,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854508524,Idaho,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854836338,Wisconsin,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854289610,Louisiana,,,,0.0,0,Undecided
1855449564,South Carolina,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855428528,New York,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855450768,Virginia,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855448320,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855426682,Delaware,,,,1.0,1,"Yes, definitely"
1855427602,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1852844402,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1853524336,Virginia,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854395366,Mississippi,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855392892,Delaware,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855451324,West Virginia,,,,1.0,0,"Yes, definitely"
1855445552,Nevada,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854437388,New York,0.0,1.0,1.0,1.0,1,Probably
1855422592,Colorado,0.0,1.0,1.0,0.0,0,Undecided
1855427484,North Carolina,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855445692,Missouri,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855445582,Iowa,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854381510,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854303740,Florida,0.0,1.0,1.0,1.0,1,I already voted (early or absentee)
1854360366,Idaho,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1852327570,Wisconsin,,,,1.0,0,"Yes, definitely"
1855427142,Louisiana,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855389036,Iowa,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855477988,Ohio,,,,0.0,0,No
1854815208,Tennessee,0.0,1.0,1.0,1.0,0,Probably
1855403552,Delaware,,,,1.0,1,"Yes, definitely"
1855451054,Illinois,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855451192,Hawaii,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855449116,Massachusetts,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854580626,Kansas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855445698,Florida,1.0,0.0,1.0,1.0,1,I plan to vote before November 5th
1855439474,Minnesota,,,,1.0,1,"Yes, definitely"
1855438932,Colorado,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855486504,Pennsylvania,0.0,0.0,1.0,1.0,1,Probably
1855486408,Georgia,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855487164,Utah,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855487036,California,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855506450,Virginia,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855390592,California,,,,1.0,1,Probably
1854513112,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855427408,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855451338,Texas,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1855450922,Missouri,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855486336,Ohio,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854645526,New York,,,,1.0,1,"Yes, definitely"
1855492510,California,,,,1.0,0,"Yes, definitely"
1855451002,Kansas,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854442348,Minnesota,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855486862,Wisconsin,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855450368,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854031176,Mississippi,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855449542,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855507140,Oklahoma,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855427066,Illinois,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855450252,Florida,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855478554,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855503554,Missouri,1.0,0.0,1.0,1.0,1,Probably
1851207408,Texas,,,,1.0,0,"Yes, definitely"
1855427508,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854241538,Texas,,,,0.0,0,No
1855456068,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1852761028,Florida,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855520734,Ohio,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855503372,Mississippi,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855507548,Illinois,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855450668,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855275220,Michigan,,,,1.0,0,Probably
1855471224,New Jersey,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854415776,Nevada,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855529952,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855515026,Nevada,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855445026,Illinois,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855487260,Florida,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855536362,Idaho,0.0,1.0,1.0,1.0,1,I already voted (early or absentee)
1855508204,Maryland,,,,1.0,0,Probably
1855534960,Maryland,1.0,0.0,1.0,1.0,0,Probably
1854772658,Connecticut,,,,0.0,0,No
1855536268,Rhode Island,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1852412208,Virginia,1.0,0.0,1.0,1.0,1,I already voted (early or absentee)
1855536424,Wisconsin,,,,0.0,0,No
1855527952,California,,,,1.0,0,Probably
1855537038,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855507430,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855523572,California,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855289308,Florida,,,,1.0,0,Probably
1855297898,Vermont,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854815696,Minnesota,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855342848,Illinois,0.0,0.0,1.0,1.0,0,"Yes, definitely"
1855536234,Minnesota,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855536028,New York,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1852692936,Ohio,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855507570,New Jersey,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854381356,Nevada,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855527828,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854720456,Wisconsin,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855508018,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855537420,Minnesota,,,,0.0,0,No
1855557090,Virginia,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855556780,Pennsylvania,,,,0.0,0,Undecided
1855557232,Illinois,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855571166,South Carolina,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855547076,South Carolina,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854854800,Nevada,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1854670338,Florida,0.0,1.0,1.0,1.0,1,I plan to vote before November 5th
1853584604,Colorado,,,,0.0,0,No
1855584174,New York,,,,0.0,0,Undecided
1854508668,Wisconsin,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855556788,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855537084,Florida,1.0,0.0,1.0,1.0,0,"Yes, definitely"
1855451376,Georgia,,,,0.0,0,No
1855584112,New Hampshire,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855404646,Illinois,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855602712,West Virginia,,,,1.0,0,"Yes, definitely"
1855585212,Virginia,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855585668,Arizona,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855575878,Tennessee,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855585428,Arizona,,,,0.0,0,Undecided
1855602714,New Jersey,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855557614,Arizona,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855593590,Arizona,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855603084,Illinois,,,,0.0,0,No
1855537040,Florida,,,,1.0,1,Probably
1855585518,Vermont,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855603948,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855620034,Texas,1.0,0.0,1.0,1.0,1,Probably
1855584616,Nevada,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1854436090,Florida,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855537292,Hawaii,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855628966,New Jersey,1.0,0.0,1.0,1.0,0,Probably
1855486850,Illinois,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855632208,New York,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854900184,Arkansas,1.0,0.0,1.0,1.0,0,Probably
1854397008,Alabama,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855449134,Texas,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1844112144,Oregon,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1854816152,Michigan,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855631950,Florida,1.0,0.0,1.0,1.0,0,Probably
1855631820,Pennsylvania,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855629624,Illinois,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855631020,Texas,,,,1.0,0,Probably
1855629076,Wisconsin,,,,0.0,0,Undecided
1855649234,Washington,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855632480,Wisconsin,,,,0.0,1,No
1855631824,Virginia,0.0,1.0,1.0,1.0,0,I plan to vote before November 5th
1855649226,Texas,,,,1.0,1,"Yes, definitely"
1855654054,Nevada,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855649990,New Jersey,,,,1.0,1,"Yes, definitely"
1855632754,Missouri,0.0,1.0,1.0,1.0,1,Probably
1855632018,California,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855650734,North Carolina,,,,1.0,0,Probably
1855556520,Kentucky,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855632712,Oregon,0.0,1.0,1.0,1.0,1,I already voted (early or absentee)
1855632774,Wisconsin,,,,1.0,0,"Yes, definitely"
1855649038,New York,,,,1.0,0,"Yes, definitely"
1855536080,California,0.0,1.0,1.0,1.0,0,"Yes, definitely"
1855649456,Pennsylvania,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855556426,Maine,0.0,1.0,1.0,1.0,1,"Yes, definitely"
1855631866,Idaho,1.0,0.0,1.0,1.0,1,"Yes, definitely"
1855632538,Texas,,,,1.0,1,"Yes, definitely"
1855620920,Oregon,1.0,0.0,1.0,1.0,1,"Yes, definitely"
